patterns,Supp X,Supp Y,Supp Z
(1+6+8+)(4+6+9+)(1+4+6+9+),0.4,0.05,0.66
(1+2+4+)(2+3+4+9+),0.4,0.07,0.66
(1+2+4+)(4+6+9+)(1+4+6+9+),0.4,0.05,0.66
(3+4+7+8+),1.0,0.12,0.69
(1+2+3+4+)(2+3+4+9+),0.4,0.06,0.66
(4+8+)(7+9-),0.4,0.12,0.67
(4+8+)(4+6+9+)(1+4+6+9+),0.4,0.07,0.66
(4+8+)(2+3+4+9+),0.4,0.05,0.66
(1+2+4+6+7+),0.8,0.1,0.68
(4+8-),0.5,0.05,0.67
(1+6+9+)(2+3+4+9+),0.4,0.08,0.67
(1+6+9+)(4+6+9+)(1+4+6+9+),0.4,0.05,0.66
(3+6+8+)(2+3+4+9+),0.4,0.1,0.67
(3+6+8+)(4+6+9+)(1+4+6+9+),0.4,0.06,0.66
(2+3+4+9+),0.8,0.08,0.68
(1+2+)(1+4-)(1+4-6+),0.4,0.1,0.67
(1+2+)(7+9-),0.4,0.07,0.66
(1+2+)(4+6+9+)(1+4+6+9+),0.4,0.06,0.66
(0+5+)(7+9-),0.4,0.07,0.66
(2+6+7+)(2+3+4+9+),0.4,0.11,0.67
(2+6+7+)(4+6+9+)(1+4+6+9+),0.4,0.06,0.66
(4+9+)(2+3+4+9+),0.4,0.2,0.67
(4+9+)(1+4-6+),0.4,0.12,0.67
(4+9+)(5+8+),0.4,0.06,0.66
(4+9+)(1+4+6+9+),0.4,0.06,0.66
(4+9+)(7+9-),0.4,0.05,0.66
(1+2+6+)(2+3+4+9+),0.4,0.11,0.67
(1+2+6+)(1+4-6+),0.4,0.08,0.66
(1+2+6+)(4+6+9+)(1+4+6+9+),0.4,0.05,0.66
(1+3+6+7+8+),0.5,0.06,0.67
(3+6+7+)(2+3+4+9+),0.4,0.07,0.66
(3+6+7+)(4+6+9+)(1+4+6+9+),0.4,0.05,0.66
(1+4+6+9+)(2+3+4+9+),0.4,0.08,0.67
(1+2+3+6+8+),0.5,0.06,0.67
(1+3+)(1+4-)(1+4-6+),0.4,0.09,0.67
