patterns,Supp X,Supp Y,Supp Z
(1+7+)(1+6+7+)(2+6+7+)(1+2+6+7+),0.4,0.05,0.66
(1+7+)(3+6+)(1+3+6+),0.4,0.06,0.66
(1+7+)(3+4+8+),0.4,0.06,0.66
(1+7+)(1+4+9+),0.4,0.05,0.66
(1+7+)(2+7+9+),0.5,0.06,0.67
(1+7+)(4+7-),0.4,0.05,0.66
(2+3+4+7+),0.7,0.08,0.68
(1+2+3+)(1+3+4+)(2+4-7+),0.4,0.07,0.66
(1+2+3+)(1+3+4+)(6+7+9+),0.4,0.05,0.66
(1+2+3+)(1+6+7+)(2+6+7+)(1+2+6+7+),0.4,0.05,0.66
(1+2+3+)(3+4+8+),0.4,0.06,0.66
(1+2+3+)(1+3+6+),0.4,0.06,0.66
(1+2+3+)(2+7+9+),0.5,0.06,0.67
(3+9-),0.5,0.05,0.67
(3+9+)(1+3+4+)(2+4-7+),0.4,0.07,0.66
(3+9+)(1+3+4+)(6+7+9+),0.4,0.06,0.66
(3+9+)(1+6+7+)(2+6+7+)(1+2+6+7+),0.4,0.05,0.66
(3+9+)(3+4+8+),0.4,0.06,0.66
(3+9+)(1+3+6+),0.4,0.06,0.66
(3+9+)(2+7+9+),0.5,0.06,0.67
(3+9+)(4+7-),0.4,0.05,0.66
(3+4+8+)(1+2+6+7+),0.4,0.11,0.67
(3+4+8+)(6+7+9+),0.5,0.08,0.67
(6+7+9+)(1+2+6+7+),0.4,0.07,0.66
(2+4+7+)(3+4-8+)(6+7+9+),0.4,0.07,0.66
(2+4+7+)(3+4+8+),0.4,0.07,0.66
(2+4+7+)(2+6+7+)(1+2+6+7+),0.4,0.06,0.66
(2+4+7+)(2+7+9+),0.5,0.06,0.67
(2+4+7+9+),1.0,0.12,0.69
(4+7+8+),0.5,0.05,0.67
(4+7+)(1+3+4+)(2+4-7+),0.4,0.08,0.66
(4+7+)(1+3+4+)(6+7+9+),0.4,0.06,0.66
(4+7+)(1+6+7+)(2+6+7+)(1+2+6+7+),0.4,0.05,0.66
(4+7+)(3+4+8+),0.4,0.06,0.66
(4+7+)(1+3+6+),0.4,0.06,0.66
(4+7+)(2+7+9+),0.5,0.06,0.67
(4+7-)(1+3+4+)(2+4-7+),0.4,0.07,0.66
(4+7-)(1+3+4+)(6+7+9+),0.4,0.05,0.66
(4+7-)(1+6+7+)(2+6+7+)(1+2+6+7+),0.4,0.05,0.66
(4+7-)(3+4+8+),0.4,0.06,0.66
(4+7-)(1+3+6+),0.4,0.06,0.66
(4+7-)(2+7+9+),0.5,0.06,0.67
(1+4+6+)(3+4-8+)(6+7+9+),0.4,0.07,0.66
(1+4+6+)(1+6+7+)(2+6+7+)(1+2+6+7+),0.4,0.05,0.66
(1+4+6+)(3+4+8+),0.4,0.06,0.66
(1+4+6+)(2+4-7+),0.4,0.05,0.66
(1+4+6+)(1+4+9+),0.4,0.05,0.66
(1+4+6+)(2+7+9+),0.5,0.06,0.67
(5+)(3+4-8+)(6+7+9+),0.4,0.06,0.66
(5+)(2+4-)(1+3+4+)(2+4-7+),0.4,0.05,0.66
(5+)(1+6+7+)(2+6+7+)(1+2+6+7+),0.4,0.05,0.66
(5+)(3+6+)(1+3+6+),0.4,0.06,0.66
(5+)(3+4+8+),0.4,0.06,0.66
(5+)(1+4+9+),0.4,0.05,0.66
(5+)(2+7+9+),0.5,0.06,0.67
(5+)(4+7-),0.4,0.05,0.66
(1+6+8+)(3+4-8+)(6+7+9+),0.4,0.07,0.66
(1+6+8+)(2+6+7+)(1+2+6+7+),0.4,0.05,0.66
(1+6+8+)(3+4+8+),0.4,0.06,0.66
(1+6+8+)(2+4-7+),0.4,0.05,0.66
(1+6+8+)(2+7+9+),0.5,0.06,0.67
(1+8-)(3+4-8+)(6+7+9+),0.4,0.06,0.66
(1+8-)(2+4-)(1+3+4+)(2+4-7+),0.4,0.05,0.66
(1+8-)(1+6+7+)(2+6+7+)(1+2+6+7+),0.4,0.05,0.66
(1+8-)(3+6+)(1+3+6+),0.4,0.06,0.66
(1+8-)(3+4+8+),0.4,0.06,0.66
(1+8-)(1+4+9+),0.4,0.05,0.66
(1+8-)(2+7+9+),0.5,0.06,0.67
(1+8-)(4+7-),0.4,0.05,0.66
(1+8+)(3+4-8+)(6+7+9+),0.4,0.07,0.66
(1+8+)(2+4-)(1+3+4+)(2+4-7+),0.4,0.05,0.66
(1+8+)(1+6+7+)(2+6+7+)(1+2+6+7+),0.4,0.05,0.66
(1+8+)(3+6+)(1+3+6+),0.4,0.06,0.66
(1+8+)(3+4+8+),0.4,0.06,0.66
(1+8+)(1+4+9+),0.4,0.05,0.66
(1+8+)(2+7+9+),0.5,0.06,0.67
(1+8+)(4+7-),0.4,0.05,0.66
(6+9+)(1+3+4+)(2+4-7+),0.4,0.08,0.66
(6+9+)(1+3+4+)(6+7+9+),0.4,0.06,0.66
(6+9+)(3+4-8+),0.4,0.05,0.66
(6+9+)(1+6+7+)(2+6+7+)(1+2+6+7+),0.4,0.05,0.66
(6+9+)(3+4+8+),0.4,0.06,0.66
(6+9+)(1+3+6+),0.4,0.06,0.66
(6+9+)(2+7+9+),0.5,0.06,0.67
(3+4+7+)(6+7+9+),0.4,0.06,0.66
(2+6-)(1+6+7+)(2+6+7+)(1+2+6+7+),0.4,0.05,0.66
(2+6-)(3+4+8+),0.4,0.06,0.66
(2+6-)(1+4+9+),0.4,0.05,0.66
(2+6-)(2+7+9+),0.4,0.05,0.66
(2+4+8+)(2+7+9+),0.4,0.05,0.66
(3+4+7+8+),0.5,0.05,0.67
(4+8+)(1+3+4+)(2+4-7+),0.4,0.08,0.67
