8 20 6 4 2 6 6 4 4 4 6 5 5 4 2
8 21 7 6 6 7 5 5 6 6 5 5 6 6 6
8 22 4 6 4 4 5 5 5 5 5 5 4 4 5
8 23 6 5 6 6 7 5 7 6 6 5 7 6 6
9 1 4 4 3 4 5 5 4 4 5 6 4 6 4
9 2 4 4 4 2 4 3 3 1 4 3 5 3 2
9 3 6 6 7 4 5 5 5 1 5 5 6 6 5
9 4 6 6 6 6 6 6 6 6 6 6 6 6 6
9 5 6 5 6 7 7 7 6 7 6 6 6 5 6
9 6 4 6 6 6 3 3 6 4 6 3 6 4 4
9 7 3 3 3 3 3 3 3 3 3 3 3 3 3
9 8 5 4 6 4 4 4 4 6 5 5 6 6 6
9 9 5 1 2 5 5 1 6 1 4 4 5 5 6
9 10 4 4 4 4 4 4 4 4 4 4 4 4 4
9 11 5 5 7 5 6 6 5 6 6 6 7 5 4
9 12 6 5 6 6 5 5 6 6 5 6 5 6 6
9 13 6 4 6 6 5 6 4 6 5 5 6 6 6
9 14 6 6 7 6 4 3 7 7 5 5 7 7 5
9 15 5 5 5 5 5 5 5 5 5 5 5 5 5
9 16 5 5 5 5 5 5 5 5 5 5 5 5 5
9 17 6 6 6 6 6 6 6 6 6 6 6 6 6
9 18 6 3 7 5 6 4 5 6 6 6 7 6 5
9 19 7 5 7 7 7 4 7 7 7 6 7 7 5
9 20 4 4 5 3 5 3 3 5 5 5 4 3 6
9 21 6 6 6 6 5 4 6 1 5 5 6 6 6
9 22 5 5 5 6 5 5 4 6 5 5 6 5 5
9 23 6 5 6 4 4 4 6 6 5 4 6 5 6
9 24 5 6 6 5 4 6 5 5 6 6 6 5 5
10 1 6 4 6 6 5 4 3 3 5 6 5 4 4
10 2 5 6 7 5 6 6 4 5 7 6 6 5 6
10 3 5 4 6 6 6 1 5 1 5 6 5 6 6
10 4 7 7 6 7 3 4 7 6 6 7 6 7 7
10 5 7 7 7 7 7 7 7 7 7 7 7 7 7
10 6 6 6 4 6 6 6 6 4 6 3 4 4 4
10 7 3 3 3 5 2 2 3 4 2 2 6 3 2
10 8 5 5 4 5 4 5 5 4 4 4 4 4 4
10 9 7 1 6 7 6 1 5 6 5 4 6 7 6
10 10 6 6 6 6 6 6 6 6 6 6 6 6 6
10 11 5 4 6 6 5 5 5 5 4 4 6 6 4
10 12 5 5 5 6 5 5 5 5 5 5 6 6 5
10 13 5 5 6 6 5 5 5 6 5 5 5 5 6
10 14 7 1 7 7 5 5 7 7 4 4 7 7 6
10 15 5 5 5 5 4 4 5 5 4 5 4 4 4
10 16 6 5 5 5 5 5 5 4 5 6 5 5 5
10 17 6 6 6 6 6 6 6 6 6 6 6 6 6
10 18 7 7 7 7 5 5 7 7 7 6 7 7 7
10 19 6 1 7 7 7 6 7 7 5 5 7 6 1
10 20 6 6 6 4 7 6 4 6 7 7 6 6 6
10 21 7 6 6 7 5 5 6 5 5 5 6 6 6
10 22 5 5 6 5 6 6 6 6 6 6 6 6 6
10 23 6 4 6 7 3 3 4 4 5 5 4 5 5
10 24 6 4 5 6 5 5 5 5 6 6 5 6 6
